"Shipping Address","Toimitusosoite"
"Billing Address","Laskutusosoite"
"Edit","Muokkaa"
"Loading...","Lataa..."
"Loading next step...","Ladataan seuraavaa vaihetta..."
"Place Order","Tee tilaus"
"Placing your order...","Luodaan tilausta..."
"Read it here","Lue tästä"
"Continue","Jatka"
"Continue Shopping","Jatka ostoksia"
"Select delivery method","Valitse toimitustapa"
"Delivery","Toimitustapa"
"Summary","Yhteenveto"
"Confirmation","Yhteenveto"
"Edit Cart","Muokkaa ostoskoria"
"City","Kaupunki"
"Country","Maa"
"Telephone","Puhelin"
"State/Province","Osavaltio/Maakunta"
"Finalize order","Viimeistele tilaus"
"Masterpass Checkout", "Maksa Masterpassilla"
"Product Name","Tuotteen nimi"
"Price","Hinta"
"Qty","Määrä"
"Subtotal","Välisumma"
"Place Order","Tee Tilaus"
"Pay immediately","Maksa heti"
"Or pay immediately","Tai maksa heti"
"Learn more","Lue lisää"